char_count,word_count,token_count
20503,3578,4434
32668,5721,6949
11064,1841,2348
54182,9348,11311
14004,2332,2835
26954,4762,5692
12525,2219,2712
20969,3517,4684
22583,3887,4819
33951,5848,7044
26630,4491,6278
12031,2153,2622
18345,3242,3888
40284,6744,8139
18504,3234,3919
53814,9452,11508
228570,40415,51644
62466,10190,12430
33620,5675,7064
23701,4138,4989
6930,1154,1423
31832,5380,6368
35896,6189,7546
12737,2218,2878
47415,8133,9756
21920,3835,4900
25364,4437,5652
60850,10301,12452
38887,6669,8466
64718,11141,14195
28623,4903,6271
106078,18040,22699
20218,3564,4198
17278,3110,3917
20323,3599,4251
56317,9724,11535
31059,5262,6327
17883,3106,3954
80468,14049,17453
44166,7808,9667
10018,1740,2111
5287,896,1143
16764,3040,3572
30710,5148,6791
7721,1293,1670
9997,1693,2185
10922,1960,2453
9971,1728,2187
25506,4339,5454
6799,1169,1437
21575,3710,4387
12969,2362,2873
11877,2055,2589
34664,6015,7411
37067,6401,7840
32337,5679,7100
43206,7574,9359
10017,1667,2139
15338,2597,3185
32803,5616,6857
61933,10839,13305
11644,2020,2545
5087,919,1121
11319,1916,2430
14328,2506,2966
7596,1269,1671
12093,2169,2646
15439,2669,3198
31435,5327,6596
9671,1646,2097
8961,1531,1776
6271,1053,1469
4551,846,1080
14771,2664,3123
13252,2362,3030
3968,664,794
6915,1213,1439
22552,3892,4971
27769,4582,5403
30384,5391,6861
29995,5242,6502
37376,6490,8484
15481,2583,3219
16649,2854,3498
4212,691,865
39891,6872,8295
9589,1660,2207
10053,1699,1974
42311,7550,9208
8143,1424,1750
95396,16608,20131
29206,5095,6395
62768,11017,13492
10697,1864,2241
135837,23112,27620
28210,4786,6012
28515,5064,6296
19364,3417,4023
22396,3822,4693
6472,1129,1345
15623,2722,3319
41376,7134,8734
105200,18191,22052
22503,3794,4596
18363,3063,4125
11678,2039,2574
12235,2188,2596
20635,3501,4104
11302,2033,2491
8881,1538,1804
19845,3388,4017
20792,3498,4156
21997,3666,4369
16659,2891,3429
18946,3268,3882
8446,1434,1793
11682,2048,2457
32544,5335,6558
12614,2159,2892
51208,8857,11192
13770,2359,2969
19436,3410,4242
41400,7118,8500
13538,2328,2859
4313,747,930
25408,4314,5336
14866,2647,3264
21536,3783,4622
23730,4113,5101
37443,6432,8394
14444,2546,3086
8946,1580,1831
32723,5722,6827
7001,1213,1547
35941,6321,7666
17238,3087,3934
66486,11611,14394
21897,3873,4571
27716,4756,5549
16293,2791,3509
24007,4041,4868
30610,5179,6655
30028,5419,6746
10112,1765,2217
47850,7950,9516
26174,4422,5940
15772,2802,3468
41938,7477,8793
30309,5278,6683
26650,4738,5739
128982,22134,28838
11092,1953,2331
17698,2981,3451
12864,2329,2829
30181,5341,6219
4377,742,939
128680,22053,28523
13366,2287,2901
25749,4313,5556
21610,3725,4524
78108,13748,17014
53288,9295,11362
15076,2523,3041
36996,6302,7773
11608,1997,2413
9342,1587,1906
4991,851,1043
13187,2333,2842
12822,2231,2722
8917,1513,1905
19311,3285,3986
10056,1678,2109
7101,1258,1442
18562,3339,4369
14746,2612,3134
22737,3926,4704
12012,2075,2603
16086,2835,3650
53045,9263,11264
36371,6085,7214
8231,1400,1752
8055,1322,1586
69923,11712,14512
84837,14866,17958
19798,3536,4580
24684,4282,5169
38474,6725,8249
9019,1585,2020
76767,13851,16961
19104,3296,4044
7190,1270,1613
55318,9554,11479
14378,2413,2923
14010,2531,3126
13364,2191,2934
26406,4689,5699
36085,6124,7315
12396,2093,2668
9539,1654,2037
118603,20727,24909
11386,2008,2467
6285,1091,1391
17243,3132,4058
29161,5133,6198
9276,1632,1965
18136,3071,3676
41849,7106,8490
3616,611,734
12558,2193,2785
28577,5003,6229
17716,2980,3552
6468,1148,1384
4228,768,915
4276,775,922
14667,2577,2962
26763,4656,5822
26431,4484,5902
16845,2974,3687
12824,2238,2561
16053,2792,3338
38797,6601,7687
14151,2480,3146
40647,7033,8534
15644,2673,3323
24263,4298,5315
14586,2546,3279
12553,2264,2772
147576,25238,30036
40303,7074,8328
18085,3184,3876
13893,2416,2897
17024,2921,3698
20689,3614,4408
10035,1817,2256
20692,3615,4410
23840,4102,5015
16261,2910,3481
12940,2242,2824
25488,4680,5706
8905,1515,1889
9511,1645,1978
12595,2124,2733
7121,1278,1566
11726,2001,2440
7506,1317,1699
14468,2484,3181
4694,826,1045
23189,4037,4945
12591,2156,2600
29754,5301,6353
19217,3253,3960
16621,2880,3545
12057,2065,2565
18059,3112,3906
25220,4292,5880
23136,4036,4883
17649,3090,3589
22993,3901,4879
16342,2812,3433
39051,6650,8206
49751,8723,11034
58787,10432,12440
8077,1405,1715
17526,3000,3700
10863,1907,2451
20121,3518,4469
66300,11393,13402
21758,3732,4460
5691,975,1159
38127,6662,8018
13917,2382,3098
10559,1810,2265
42136,7328,8727
31172,5397,6616
20248,3490,4271
9683,1644,1975
22169,3840,4621
8418,1430,1792
16045,2849,3296
5050,873,1123
179511,31033,36697
18650,3195,3897
12488,2154,2674
10536,1796,2117
19238,3350,3903
14258,2330,2674
6001,1021,1315
20315,3455,4046
9843,1739,2043
14107,2457,3092
92509,16458,19294
27133,4622,5399
4761,847,1066
14868,2562,3139
14088,2468,2974
9337,1660,2008
9255,1606,1874
44941,7725,9652
21443,3713,4647
12930,2263,2774
18330,3284,4154
13822,2413,3108
23009,4100,4986
97622,16790,20403
8489,1435,1763
10698,1744,2257
12014,2079,2484
6534,1136,1435
12100,2132,2543
13675,2341,2880
31983,5758,7230
7781,1309,1599
10914,1865,2169
9418,1635,2055
13906,2424,2978
14310,2421,2942
17525,3003,3700
17731,3175,3941
10046,1748,2161
11661,2054,2484
23295,4250,5087
11441,2001,2604
10690,1854,2276
87551,15094,17604
27813,4695,5724
28674,5066,6313
34208,5994,8007
12573,2274,2745
33939,5890,7352
10163,1699,2014
68752,11822,13947
6950,1196,1507
19908,3458,4329
14935,2625,3171
11842,2017,2418
11846,2057,2595
13711,2420,2970
29963,5153,6622
26101,4409,5369
11217,1956,2232
10728,1948,2303
55622,9946,11781
44955,7715,9222
21829,3770,4606
27198,4683,5722
18758,3179,3800
9633,1720,2124
12697,2099,2417
12396,2140,2569
31574,5402,6461
28247,4909,5879
6438,1148,1492
8445,1519,1914
47017,8328,10150
14829,2555,3135
7678,1337,1535
6170,1059,1328
11806,2012,2644
74233,13359,16056
7847,1322,1691
2460,409,544
11936,2113,2609
19715,3348,3999
29630,5060,6151
8392,1465,1804
22950,4079,4866
15168,2598,3062
13751,2404,3008
36328,6579,8011
22815,4013,4813
12316,2199,2655
12281,2205,2662
19355,3353,4147
13355,2299,2763
6886,1177,1477
9949,1829,2299
33340,5601,6648
13565,2318,2715
26296,4563,5457
16905,2969,3814
11715,2092,2540
26472,4626,5718
9416,1613,2008
9279,1596,1903
9764,1699,1991
5256,892,1071
21311,3552,4345
19341,3350,4015
18477,3232,4050
12882,2277,2776
20950,3605,4462
8659,1551,1816
6745,1160,1475
11405,1963,2523
